Date,Open,High,Low,Close,Adj Close,Volume,,Month/Year,2015,2016,2017,2018,2019,,,,,,,,
1/1/2015,2586.949951,2586.949951,2496.51001,2532.310059,433.240356,2632474,,1,2456.939941,4398,3870,4820,3800,,,,,,,,
2/1/2015,2516.300049,2521.01001,2445.639893,,420.345642,4866890,,2,2768.77002,3936,3900,3980,3790,,,,,,,,
3/1/2015,2475.790039,2782.899902,2445.639893,,473.695038,8929708,,3,2769.719971,3995,3820,3540,3500,,,,,,,,
4/1/2015,2769.719971,2840.370117,2703.77002,,473.857605,2637779,,4,2732.030029,3800,3930,3790,3380,,,,,,,,
5/1/2015,2769.719971,2779.139893,2675.51001,,467.409454,1072097,,5,2713.189941,3800,3840,3580,3140,,,,,,,,
6/1/2015,2732.030029,2732.030029,2656.669922,,719.577454,1685101,,6,3144.659912,3630,3550,3840,3030,,,,,,,,
7/1/2015,2661.379883,3393.370117,2656.669922,,834.009644,15298596,,7,2863.919922,3980,3640,3830,2690,,,,,,,,
8/1/2015,3104.149902,3197.419922,2675.51001,,759.553345,6605066,,8,2862.97998,3950,3860,3850,2290,,,,,,,,
9/1/2015,2826.23999,2911.030029,2797.97998,,1155.114136,7653281,,9,3679,3950,3980,3730,2130,,,,,,,,
10/1/2015,2863.919922,3960,2863.919922,,1484.350098,400872418,,10,4076,3800,4100,3680,1935,,,,,,,,
11/1/2015,3680,4076,3676,,1644.525879,1051640000,,11,3760,3830,4730,3710,2150,,,,,,,,
12/1/2015,4076,4080,3641,,1517.030884,178870000,,12,4140,3850,4900,3830,2150,,,,,,,,
1/1/2016,3760,4392,3560,,1670.347656,443827500,,,,,,,,,,,,,,,
2/1/2016,4140,4485,3976,,1774.442017,329567500,,Delta % vs last month,2015,2016,2017,2018,2019,,,,,,,,
3/1/2016,4364,4475,3802,,1588.040649,365800000,,1,12.69180715,-10.5047749,0.775193798,-17.42738589,-0.263157895,,,,,,,,
4/1/2016,3936,4114,3700,,1611.845215,398230000,,2,0.034309495,1.49898374,-2.051282051,-11.05527638,-7.65171504,,,,,,,,
5/1/2016,3995,3999,3800,,1533.169434,297340000,,3,-1.360785292,-4.881101377,2.879581152,7.062146893,-3.428571429,,,,,,,,
6/1/2016,3804,4004,3560,,3456.112793,375384000,,4,-0.689600326,0,-2.290076336,-5.540897098,-7.100591716,,,,,,,,
7/1/2016,3810,4070,3630,,3301.497314,400776500,,5,15.9026821,-4.473684211,-7.552083333,7.262569832,-3.503184713,,,,,,,,
8/1/2016,3900,4100,3770,,3619.823486,400408900,,6,-8.927515148,9.641873278,2.535211268,-0.260416667,-11.22112211,,,,,,,,
9/1/2016,4060,4250,3760,,3592.538574,287114000,,7,-0.032820122,-0.753768844,6.043956044,0.522193211,-14.86988848,,,,,,,,
10/1/2016,3980,4240,3950,,3592.538574,226352600,,8,28.50247035,0,3.10880829,-3.116883117,-6.986899563,,,,,,,,
11/1/2016,3990,4100,3680,,3456.112793,414520600,,9,10.79097581,-3.797468354,3.015075377,-1.340482574,-9.154929577,,,,,,,,
12/1/2016,3800,4050,3620,,3483.398193,239137500,,10,-7.752698724,0.789473684,15.36585366,0.815217391,11.11111111,,,,,,,,
1/1/2017,3830,4020,3750,,3501.588135,207779100,,11,10.10638298,0.522193211,3.594080338,3.234501348,0,4.364289469,,,,,,,
2/1/2017,3880,4000,3800,,3519.778076,208307300,,12,6.231884058,0.519480519,-1.632653061,-0.783289817,0,,,,,,,,
3/1/2017,3890,4150,3830,,3547.063477,716940900,,,,,,,,,,,,,,,
4/1/2017,3950,4030,3820,,3474.303223,220550000,,,Anova: Two-Factor Without Replication,,,,,,,,,,,,
5/1/2017,3820,4000,3760,,3574.348389,571168900,,,,,,,,,,,,,,,
6/1/2017,3930,3930,3770,,3591.678711,218156700,,,SUMMARY,Count,Sum,Average,Variance,,,,,,,,
7/1/2017,3860,3870,3550,,3320.432129,248047300,,,Row 1,4,-14.46515985,-3.616289961,174.4789188,,,,,,,,
8/1/2017,3550,3770,3350,,3404.612061,413204900,,,Row 2,4,-11.5732652,-2.8933163,31.72996883,,,,,,,,
9/1/2017,3640,3950,3550,,3610.385498,277420600,,,Row 3,4,3.699841376,0.924960344,26.80686235,,,,,,,,
10/1/2017,3890,4060,3760,,3722.625244,392554600,,,Row 4,4,-8.52057376,-2.13014344,6.090498194,,,,,,,,
11/1/2017,3990,4390,3870,,3834.865234,402332800,,,Row 5,4,11.13948439,2.784871096,117.2220011,,,,,,,,
12/1/2017,4100,4780,4100,,4424.125,332997500,,,Row 6,4,2.989152731,0.747288183,58.97586718,,,,,,,,
1/1/2018,4730,5550,4530,,4583.131836,365893200,,,Row 7,4,5.77956029,1.444890072,9.673501919,,,,,,,,
2/1/2018,4920,4970,4550,,4508.305176,353338800,,,Row 8,4,28.49439553,7.123598881,209.5959405,,,,,,,,
3/1/2018,4820,4850,3940,,3722.625244,546572900,,,Row 9,4,8.668100257,2.167025064,40.98983578,,,,,,,,
4/1/2018,4000,4220,3520,,3311.078613,238182700,,,Row 10,4,9.21784601,2.304461502,92.086491,,,,,,,,
5/1/2018,3540,3930,3230,,3544.912109,592759700,,,Row 11,4,17.45715788,4.364289469,16.53432828,,,,,,,,
6/1/2018,3790,3830,3350,,3452.855957,297485700,,,Row 12,4,4.335421699,1.083855425,12.56212252,,,,,,,,
7/1/2018,3600,3970,3560,,3703.621826,356025600,,,,,,,,,,,,,,,
8/1/2018,3850,3950,3470,,3693.977051,361444100,,,Column 1,12,65.49709232,5.458091027,115.3121736,,,,,,,,
9/1/2018,3830,3910,3620,,3713.266846,245537100,,,Column 2,12,-11.43879325,-0.953232771,23.15026223,,,,,,,,
10/1/2018,3820,3980,3620,,3597.528564,327245800,,,Column 3,12,23.79166514,1.982638762,31.05575485,,,,,,,,
11/1/2018,3770,3940,3240,,3549.304443,1210204300,,,Column 4,12,-20.62800287,-1.719000239,49.76238462,,,,,,,,
12/1/2018,3730,3920,3590,,3578.23877,351880900,,,,,,,,,,,,,,,
1/1/2019,3710,4080,3660,,3693.977051,589306200,,,,,,,,,,,,,,,
2/1/2019,3850,3850,3690,,3665.04248,366079800,,,ANOVA,,,,,,,,,,,,
3/1/2019,3820,4030,3730,,3655.397705,266213600,,,Source of Variation,SS,df,MS,F,P-value,F crit,,,,,,
4/1/2019,3790,3810,3360,,3375.697021,424531600,,,Rows,404.6543778,11,36.78676162,0.604734389,0.811119183,2.093254411,,,,,,
5/1/2019,3500,3560,3200,,3259.95874,548056600,,,Columns,382.8070593,3,127.6023531,2.097644033,0.119418425,2.891563517,,,,,,
6/1/2019,3380,3470,3140,,3140,375126700,,,Error,2007.43195,33,60.83127122,,,,,,,,,
7/1/2019,3160,3290,2810,,3030,1142950900,,,,,,,,,,,,,,,
8/1/2019,3030,3120,2680,,2690,975911000,,,Total,2794.893387,47,,,,,,,,,,
9/1/2019,2690,2900,2190,,2290,1271184000,,,,,,,,,,,,,,,
10/1/2019,2300,2360,2050,,2130,1284916400,,,,,,,,,,,,,,,
11/1/2019,2130,2150,1900,,1935,905247900,,,,,,,,,,,,,,,
12/1/2019,1935,2190,1935,,2150,523912700,,,,,,,,,,,,,,,
12/23/2019,2120,2190,2090,,2150,65262500,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
